The all best features are: 
                                      Feat_names    F_Scores
0                                      num_words  185.394782
3                           num_words_with_punct  183.789657
204                                         RDL2  176.398040
4                                 num_total_prop  113.494575
196                                      WRDFRQc  106.042101
145                       num_b2_words_incidence   79.564152
189                                    SYNSTRUTt   63.642740
151                                       PCSYNp   59.160383
200                                      WRDFAMc   58.954780
125                   num_rare_verbs_4_incidence   57.944767
150                                       PCSYNz   57.720302
171                                       LSAGNd   52.371406
188                                    SYNSTRUTa   51.016960
146                       num_c1_words_incidence   50.430375
141                num_third_pers_pron_incidence   48.106818
154                                       PCREFz   42.955592
155                                       PCREFp   42.064084
172                                       LDVOCD   41.132481
114                      num_sentences_incidence   40.753418
113                     num_paragraphs_incidence   40.052518
197                                      WRDFRQa   39.496426
55                                     lemma_ttr   38.134962
82                                  num_b1_words   37.354418
165                                      LSASS1d   36.795620
23                                    num_impera   34.005620
26                                 num_agentless   31.713357
67                      num_syllables_words_mean   31.297606
144                       num_b1_words_incidence   30.890023
24                                num_rare_adj_4   30.314245
19                                num_rel_subord   29.639391
25                                      num_pass   29.633231
158                                      PCVERBz   28.938228
179                                      SMINTEp   28.719193
167                                      LSASSpd   27.913605
191                                         DRPP   27.550378
159                                      PCVERBp   27.277321
15                           num_third_pers_pron   26.904411
126                              num_rare_advb_4   25.242425
29                         noun_overlap_adjacent   25.212753
108                          min_wf_per_sentence   24.814665
27                           num_first_pers_pron   24.142066
28                                       num_neg   23.676621
109                              polysemic_index   23.622652
74                       num_syllables_words_std   22.877962
20                                       num_ger   22.470597
92                          mean_np_per_sentence   22.129429
112                        hypernymy_nouns_index   22.082422
22                              num_rare_verbs_4   21.519055
170                                        LSAGN   21.415965
100          agentless_passive_density_incidence   20.902863
96                                  noun_density   20.639045
21                            num_past_irregular   19.863714
115                           num_past_incidence   19.819194
78                             left_embeddedness   19.689248
140           num_first_pers_sing_pron_incidence   18.695416
17                                       num_inf   18.444225
143                       num_a2_words_incidence   18.360274
81                                  num_b2_words   18.167538
178                                     SMCAUSvp   17.890261
131                           num_noun_incidence   17.725640
53                                       adv_ttr   17.628348
54                                   content_ttr   17.594721
2                                  num_sentences   17.512138
68                             words_length_mean   17.343518
9                               num_rare_nouns_4   17.175286
38                       content_overlap_all_std   17.047501
42             adversative_connectives_incidence   16.845397
182                                    SMCAUSlsa   16.723869
79             num_content_words_not_a1_c1_words   16.668745
199                                      WRDAOAc   16.656185
5                                       num_noun   16.426257
142                       num_a1_words_incidence   15.950922
30                              noun_overlap_all   15.411870
14                         num_personal_pronouns   15.349767
66            sentences_length_no_stopwords_mean   15.275941
12                                     num_indic   15.202382
11                                      num_pres   15.131986
187                                    SYNMEDlem   15.030246
148                                       PCNARz   14.763904
149                                       PCNARp   14.667593
39                     all_connectives_incidence   14.621236
1                                 num_paragraphs   14.134530
18                                       num_adj   13.997449
93                 noun_phrase_density_incidence   13.713514
16                                    num_subord   13.676121
83                                  num_a2_words   13.649235
132                            num_adj_incidence   13.593851
64                  sentences_per_paragraph_mean   13.575060
10                          num_dif_rare_words_4   13.355141
88                       num_past_irregular_mean   13.067391
13                                       num_adv   13.011210
6                                       num_verb   12.540882
77                             lemmas_length_std   12.113771
95                               lexical_density   12.043658
122                           num_pass_incidence   11.900333
73             sentences_length_no_stopwords_std   11.885749
89                  num_punct_marks_per_sentence   11.651957
166                                       LSASSp   11.613267
177                                      SMCAUSv   11.565764
186                                    SYNMEDwrd   11.448415
87                                 num_pass_mean   11.416634
60                             lemma_content_ttr   11.147731
37                      content_overlap_all_mean   11.092102
91                          mean_vp_per_sentence   11.053302
97                                  verb_density   10.771694
8                               num_rare_words_4   10.327275
47                                flesch_kincaid   10.290545
135                         num_subord_incidence   10.253069
147  num_content_words_not_a1_c1_words_incidence   10.199439
