@relation 'train_cab-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute num_words_more_3_syl numeric
@attribute honore numeric
@attribute mean_np_per_sentence numeric
@attribute verb_phrase_density_incidence numeric
@attribute flesch numeric
@attribute similarity_pairs_par_std numeric
@attribute similarity_adjacent_par_std numeric
@attribute polysemic_index numeric
@attribute mean_distinct_rare numeric
@attribute words_length_no_stopwords_std numeric
@attribute num_paragraphs_incidence numeric
@attribute num_subord_incidence numeric
@attribute adversative_connectives_incidence numeric
@attribute num_rare_adj_incidence numeric
@attribute num_dif_rare_words_incidence numeric
@attribute simple_ttr numeric
@attribute lemma_ttr numeric
@attribute ratio_proper_nouns_per_nouns numeric
@attribute content_overlap_all_mean numeric
@attribute level {0,1}

@data

26,913.1472,5.3529,172.4138,70.8975,0.1045,0.0371,4.5529,22.8346,3.2343,12.5392,90.9091,37.6176,25.0784,90.9091,0.5831,0.6489,0.0909,0.0123,0
25,814.1737,4.1481,159.375,80.3761,0.1317,0.0437,5.1884,25.2427,2.7136,37.5,59.375,34.375,15.625,81.25,0.5281,0.5844,0.3333,0.0098,0
17,768.3533,5.6429,182.1705,76.1824,0.0585,0.0246,4.4762,23.7113,2.5037,11.6279,100.7752,19.3798,15.5039,89.1473,0.531,0.6279,0.3115,0.0142,0
21,948.2517,5.6,190.8832,75.6057,0.097,0.078,4.25,29.9213,3.2833,19.943,99.7151,17.094,0,108.2621,0.5413,0.604,0.2,0.0183,0
25,834.2573,4.2857,168.2927,74.8311,0.1838,0.1062,4.8485,25,2.0404,21.9512,85.3659,29.2683,9.7561,80.4878,0.4439,0.5927,0.2326,0.0207,0
46,900.6496,5.6923,142.8571,73.9645,0.105,0.0636,4.0296,33.3333,2.2478,25.2101,67.2269,4.2017,33.6134,115.5462,0.4664,0.5315,0,0.019,1
13,700.385,3.3333,160.2564,83.1551,0.1134,0.0932,2.8293,22.0339,2.0535,38.4615,70.5128,0,25.641,83.3333,0.6346,0.7179,0.1,0.0241,1
37,1145.4842,5.1176,159.8746,63.5621,0.1192,0.0316,3.9348,36.4964,2.7027,12.5392,68.9655,12.5392,28.2132,156.7398,0.5737,0.605,0.0149,0.0142,1
33,941.5679,5.0526,192.7711,68.294,0.0707,0.0665,4.1463,36.2205,2.2474,12.0482,96.3855,15.0602,27.1084,138.5542,0.5512,0.6054,0,0.0249,1
