@relation 'train_cab-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute num_sentences numeric
@attribute num_adv numeric
@attribute num_lexic_words numeric
@attribute num_adj numeric
@attribute num_rare_adj numeric
@attribute num_dif_rare_words numeric
@attribute num_indic numeric
@attribute num_ger numeric
@attribute num_decendents_noun_phrase numeric
@attribute num_different_forms numeric
@attribute honore numeric
@attribute mean_np_per_sentence numeric
@attribute num_past_irregular_mean numeric
@attribute sentences_length_no_stopwords_mean numeric
@attribute words_length_std numeric
@attribute num_proper_noun_incidence numeric
@attribute adversative_connectives_incidence numeric
@attribute num_rare_adj_incidence numeric
@attribute num_dif_rare_words_incidence numeric
@attribute verb_density numeric
@attribute level {0,1}

@data

18,6,58,35,22,35,20,1,1.2842,187,902.3478,5.2778,0.5556,7,2.6844,18.5759,37.1517,24.7678,105.2632,0.1796,0
29,25,55,36,19,34,13,11,0.9492,170,806.9784,4.069,0.5714,4.5517,2.4564,76.2195,33.5366,6.0976,88.4146,0.1677,0
16,22,49,25,16,25,13,0,1.0741,133,715.7185,5.0625,0.5882,6.25,2.343,83.3333,18.9394,15.1515,83.3333,0.1856,0
22,14,72,46,24,44,12,1,0.9735,196,947.1243,5.1364,0.4706,6.0909,2.3982,38.4615,16.4835,0,118.1319,0.1978,0
25,20,71,44,40,41,18,1,1.2288,182,850.8656,4.72,0.5294,6.12,2.3607,48.1928,28.9157,9.6386,77.1084,0.1711,0
24,69,15,57,107,24,70,3,1.4671,222,900.6496,6.3333,0.2903,7.75,2.7241,0,50.4202,50.4202,119.7479,0.1471,1
15,15,4,14,37,5,26,0,1.24,99,700.385,3.3333,0,4.1333,2.4472,4,51.2821,32.0513,89.7436,0.1667,1
16,56,10,50,65,19,52,0,1.5119,183,1145.4842,5.25,0.2667,8.4375,2.9874,0,56.4263,59.5611,156.7398,0.163,1
19,54,8,48,59,14,71,4,1,184,966.4363,5.0526,0.4375,6.8947,2.7748,0,36.1446,42.1687,144.5783,0.2139,1
12,49,4,42,64,17,45,0,1.4301,167,1120.6483,7.75,0.2,9.5,2.8217,2,39.4737,55.9211,138.1579,0.148,1
21,26,75,50,19,15,15,2,0.9825,171,769.3998,5.4286,0.4643,5.5714,2.4329,8.1744,5.4496,5.4496,51.7711,0.2044,0
28,14,82,51,59,24,16,2,1.1603,235,1008.9129,4.6786,0.52,6.25,2.546,6.5359,32.6797,19.6078,102.3965,0.1786,0
11,18,31,25,21,10,4,0,1.2727,129,995.8672,6,0.6,7.8182,2.3483,38.6473,28.9855,24.1546,101.4493,0.1498,0
21,23,55,42,32,17,6,2,1.3654,190,892.9363,4.9524,0.55,6.381,2.3646,23.1884,40.5797,14.4928,92.7536,0.1594,0
14,18,63,32,44,20,14,0,1.2165,180,989.5761,6.9286,0.5625,9.6429,2.956,26.6272,32.5444,8.8757,97.6331,0.1864,0
14,62,28,149,29,24,51,155,2.895,0.0579,295.9184,88.3524,26.1261,0.7454,2.5807,0,13.6054,17.0068,98.6395,0.1735,1
49,142,58,367,68,40,135,327,3.1806,0.0521,295.1289,102.2877,26.4591,2.383,2.309,2.8653,22.9226,15.7593,97.4212,0.1934,1
23,95,57,222,65,29,68,228,2.2139,0.0492,289.7196,101.748,38.4615,3.1125,2.2679,4.6729,21.028,25.7009,151.8692,0.1589,1
11,37,19,90,24,7,31,101,2.7073,0.0625,327.7778,43.673,36.3636,0.5,2.3187,5.5556,11.1111,27.7778,133.3333,0.1722,1
17,39,23,116,23,21,41,140,1.6494,0.0504,288.7029,94.2178,24.7312,0,2.7521,37.6569,8.3682,20.9205,96.2343,0.1715,1
17,2,60,44,20,20,32,7,0.8989,162,832.0667,5.2353,0.5,6.1176,2.4605,6.8493,10.274,10.274,68.4932,0.2055,0
13,5,42,35,18,26,19,0,0.9481,114,741.1406,5.9231,0.5,6.5385,2.4539,22.8311,27.3973,41.0959,118.7215,0.1918,0
27,23,94,45,4,24,54,18,1,211,694.7143,5.4074,0.5,5.8519,2.3183,45.9082,29.9401,7.984,47.9042,0.1876,0
8,0,33,15,2,10,20,0,1.1515,95,861.3695,4.125,0.5,7,2.3308,0,13.3333,6.6667,66.6667,0.22,0
24,13,75,45,14,43,42,3,1.1613,173,688.7292,5.1667,0.6667,5.7083,2.4349,33.5917,10.3359,12.9199,111.1111,0.1938,0
17,72,50,197,33,10,8,1,3.3529,741.3021,6.2941,5.8824,16.7513,22.2222,4.0839,0,18.3246,20.9424,78.534,0.1885,1
20,53,29,130,49,20,7,0.9186,4.1,1039.0596,4.3,4.45,37.6923,36.7925,3.3507,0,7.722,27.027,150.5792,0.2046,1
9,21,12,61,11,2,3,1.2,4.1111,964.5189,3.3333,4.7778,18.0328,19.2982,2.6574,0,0,25.2101,92.437,0.1765,1
58,120,82,319,68,14,11,1.0048,2.8448,1241.3825,3.5862,4.1379,21.3166,27.8481,5.6901,4.5455,19.697,16.6667,100,0.1818,1
85,224,155,594,163,48,33,0.9974,3.2471,1130.4407,4.5294,4.6353,27.4411,39.1753,3.2568,4.0683,17.9007,26.8511,123.6778,0.1823,1
11,13,61,30,14,33,13,1.4404,184,2.55,5.5455,162.6667,6.7714,19.883,1.0125,34.6667,21.3333,13.3333,88,0.1627,0
17,0,74,47,4,32,16,1.0737,180,3.3706,4.3529,229.1022,6.5086,19.1617,0.91,0,6.192,18.5759,99.0712,0.2291,0
25,7,78,49,20,44,21,1.4104,218,3.1896,3.12,171.4286,6.4972,24.8869,0.969,15.3846,24.1758,26.3736,96.7033,0.1714,0
9,4,52,28,5,26,16,1.5474,183,2.3233,5.7778,159.0214,6.6033,16.3636,0.9781,12.2324,12.2324,18.3486,79.5107,0.159,0
9,8,45,24,14,24,18,1.4691,165,2.9067,5,150,6.6216,19.5804,1.0177,26.6667,26.6667,13.3333,80,0.15,0
60,88,30,64,34,255,59,1,2,1.1761,1.95,0.0581,2.4286,7.9848,1.3522,206.8966,24.3408,77.0791,129.8174,0.1744,1
86,145,80,127,51,450,105,2,8,1.2523,2.0233,0.0535,2.1515,8.0082,5.4443,169.7248,49.3119,44.7248,145.6422,0.1869,1
56,85,30,70,46,268,71,3,0,1.1269,2.3036,0.0529,1.7692,8.1207,1.384,190.2357,53.8721,87.5421,117.8451,0.1684,1
82,164,59,153,69,544,115,0,1,1.6564,3.0488,0.0425,1.8919,7.8217,3.3331,228.4404,41.2844,67.8899,140.367,0.1495,1
45,42,28,34,27,154,46,4,0,0.864,1.8667,0.0797,1.9231,7.7907,0.7638,143.2361,76.9231,29.1777,90.1857,0.1936,1
13,9,69,45,21,35,20,1.2564,186,3.1277,5.3077,177.8351,6.5786,18.3246,0.9437,23.1959,15.4639,15.4639,72.1649,0.1778,0
10,6,73,42,17,36,16,1.1171,179,2.685,7.3,195.1872,6.4511,20.8092,0.9302,16.0428,16.0428,8.0214,88.2353,0.1952,0
12,8,59,33,23,43,12,1.2045,163,2.9508,4.9167,187.3016,6.2645,28.1046,0.9311,25.3968,19.0476,0,107.9365,0.1873,0
26,24,75,48,29,60,38,1.4412,218,2.3592,2.8846,162.6898,6,27.5229,0.9592,52.0607,26.0304,28.1996,104.1215,0.1627,0
12,6,55,38,21,36,15,1.1982,165,2.6442,4.5833,164.1791,6.678,22.5,0.9313,17.9104,23.8806,5.9701,77.6119,0.1642,0
46,101,66,284,75,89,12,4,1.1111,238,770.9702,5.6739,0.5294,6.3261,2.1066,105.7828,11.2835,7.0522,73.3427,0.1425,1
109,236,145,718,70,189,43,35,1.5121,628,1122.2104,4.5321,0.5,5.5688,2.4726,44.3038,15.8228,22.1519,106.3291,0.1494,1
155,284,192,737,1,200,36,33,1.034,504,900.7048,3.0387,0.5256,3.6258,2.2082,0.6325,17.7103,12.6502,78.4314,0.1796,1
68,121,86,431,21,171,19,4,1.619,447,1545.5786,4.0147,0.2143,5.7206,2.8232,24.1657,6.9045,41.4269,186.4212,0.1392,1
41,143,82,357,0,100,21,13,1.4259,329,1085.2531,5.2683,0.4211,6.7561,2.622,0,12.1457,20.2429,113.3603,0.193,1
11,9,47,24,26,18,3,1.4156,150,3.7391,4.2727,163.1944,7,10.2041,1.0523,31.25,38.1944,10.4167,52.0833,0.1632,0
17,4,63,35,24,27,6,1.4078,185,3.1147,3.7059,164.0625,6.5882,18.6813,0.9324,10.4167,7.8125,15.625,75.5208,0.1641,0
16,10,49,26,11,16,4,1.8163,163,2.8081,3.0625,156.5495,6.936,20.438,1.0699,31.9489,9.5847,12.7796,89.4569,0.1565,0
8,7,54,36,15,13,2,1.1196,151,2.9188,6.75,189.4737,6.6442,17.5573,0.9596,24.5614,17.5439,7.0175,77.193,0.1895,0
14,16,63,30,35,25,8,1.1593,180,2.7857,4.5,165.7895,6.4577,21.3904,0.9456,42.1053,21.0526,21.0526,86.8421,0.1658,0
56,50,36,503,117,187,82,1,1.5836,484,1458.4033,6.3036,0.3718,8.3393,2.6588,45.2489,26.2443,24.4344,161.086,0.1529,1
44,27,72,495,112,180,102,1,1.3707,408,938.7427,7.2955,0.5833,8.9091,2.4499,26.1375,23.2333,24.2014,146.1762,0.1675,1
120,52,100,611,170,138,106,8,1.0895,537,1159.4042,3.1667,0.5,4,2.5269,42.5184,9.8119,26.9828,106.296,0.1962,1
83,47,41,544,142,170,77,5,1.3505,530,1401.5041,4.6747,0.2295,6.0361,2.8245,40.2397,7.7055,26.5411,139.5548,0.1644,1
88,16,52,372,84,101,46,43,1.3088,403,1222.0797,3.0909,0.5294,3.2727,2.4652,19.6319,9.816,20.8589,119.0184,0.1485,1
15,11,80,44,36,37,20,1,1,1.1094,4.0667,0.0541,2.32,7.2157,1.0897,148.4919,41.7633,9.2807,64.9652,0.1856,0
24,14,65,42,24,31,10,0,1,1.2358,2.9167,0.0441,1.6,8.3171,4,160.6648,33.241,24.9307,88.6427,0.1801,0
17,4,63,37,19,19,8,0,1,1.378,2.8235,0.0578,1.1333,8.5227,0.5,178.5714,35.7143,35.7143,94.1558,0.2045,0
24,1,88,61,29,39,15,0,16,1.1329,3.875,0.0531,1.55,8.0926,2.5495,175.5889,29.9786,21.4133,104.9251,0.1884,0
17,1,59,34,15,16,11,0,18,1.1735,1.1176,0.0529,1.5,7.3654,0.5,203.2787,42.623,6.5574,78.6885,0.1934,0
66,250,569,128,18,155,182,3,6,1.3256,2.5898,2.7576,7.623,0.4865,9.833,211.5059,34.687,40.6091,119.2893,0.154,1
33,126,344,60,0,79,95,2,6,1.1823,2.9952,2.8788,7.6395,0.5484,10.2262,181.5562,51.8732,28.8184,112.3919,0.1369,1
42,101,226,32,36,68,86,1,6,1.1538,2.8369,2.0476,7.7051,0.5,7.9524,210.8559,20.8768,41.7537,131.524,0.1795,1
61,181,420,64,40,130,153,2,6,1.0484,2.9818,2.5082,8.5455,0.5102,12.1608,198.0306,35.0109,59.081,119.256,0.1674,1
123,254,610,94,59,130,235,2,3,0.9226,2.723,1.9106,8.4072,0.5424,7.0906,198.1279,31.2012,38.2215,81.9033,0.1833,1
19,9,59,41,14,31,6,1,1,1.5263,0.0571,309.7345,6.6316,6.8095,2.2427,26.5487,11.7994,5.8997,79.646,0.174,0
18,8,45,36,12,24,3,2,1.2237,3.6667,0.0507,306.4516,5.3333,6.5521,2.4789,32.2581,12.0968,12.0968,88.7097,0.1815,0
