@relation train_cab

@attribute num_paragraphs numeric
@attribute num_sentences numeric
@attribute prop numeric
@attribute num_punct_in_sentence numeric
@attribute num_words numeric
@attribute num_words_with_punct numeric
@attribute num_adv numeric
@attribute num_lexic_words numeric
@attribute num_adj numeric
@attribute num_noun numeric
@attribute num_rare_words numeric
@attribute num_rare_adj numeric
@attribute num_dif_rare_words numeric
@attribute num_rare_verbs numeric
@attribute num_verb numeric
@attribute num_indic numeric
@attribute num_words_more_3_syl numeric
@attribute num_rare_nouns numeric
@attribute num_personal_pronouns numeric
@attribute num_third_pers_pron numeric
@attribute num_total_prop numeric
@attribute num_inf numeric
@attribute num_subord numeric
@attribute num_past_irregular numeric
@attribute num_proper_noun numeric
@attribute num_first_pers_pron numeric
@attribute num_first_pers_sing_pron numeric
@attribute num_ger numeric
@attribute num_neg numeric
@attribute num_decendents_noun_phrase numeric
@attribute num_modifiers_noun_phrase numeric
@attribute num_different_forms numeric
@attribute left_embeddedness numeric
@attribute min_wf_per_sentence numeric
@attribute honore numeric
@attribute maas numeric
@attribute mean_vp_per_sentence numeric
@attribute mean_np_per_sentence numeric
@attribute noun_phrase_density_incidence numeric
@attribute verb_phrase_density_incidence numeric
@attribute mean_depth_per_sentence numeric
@attribute mtld numeric
@attribute flesch numeric
@attribute causal_connectives numeric
@attribute temporal_connectives numeric
@attribute conditional_connectives numeric
@attribute logical_connectives numeric
@attribute adversative_connectives numeric
@attribute all_connectives numeric
@attribute similarity_adjacent_mean numeric
@attribute similarity_adjacent_std numeric
@attribute similarity_pairs_par_mean numeric
@attribute similarity_pairs_par_std numeric
@attribute similarity_adjacent_par_mean numeric
@attribute similarity_adjacent_par_std numeric
@attribute sentences_per_paragraph_mean numeric
@attribute sentences_length_mean numeric
@attribute words_length_mean numeric
@attribute lemmas_length_mean numeric
@attribute num_syllables_words_mean numeric
@attribute mean_propositions_per_sentence numeric
@attribute num_punct_marks_per_sentence numeric
@attribute polysemic_index numeric
@attribute hypernymy_index numeric
@attribute hypernymy_verbs_index numeric
@attribute hypernymy_nouns_index numeric
@attribute num_past_irregular_mean numeric
@attribute sentences_length_no_stopwords_mean numeric
@attribute words_length_no_stopwords_mean numeric
@attribute mean_rare numeric
@attribute mean_distinct_rare numeric
@attribute sentences_per_paragraph_std numeric
@attribute sentences_length_std numeric
@attribute words_length_std numeric
@attribute lemmas_length_std numeric
@attribute num_syllables_words_std numeric
@attribute sentences_length_no_stopwords_std numeric
@attribute words_length_no_stopwords_std numeric
@attribute num_sentences_incidence numeric
@attribute num_paragraphs_incidence numeric
@attribute num_impera numeric
@attribute num_impera_incidence numeric
@attribute num_personal_pronouns_incidence numeric
@attribute num_first_pers_pron_incidence numeric
@attribute num_first_pers_sing_pron_incidence numeric
@attribute num_third_pers_pron_incidence numeric
@attribute gerund_incidence numeric
@attribute infinitive_incidence numeric
@attribute num_subord_incidence numeric
@attribute num_indic_incidence numeric
@attribute num_verb_incidence numeric
@attribute num_noun_incidence numeric
@attribute num_proper_noun_incidence numeric
@attribute num_adj_incidence numeric
@attribute num_adv_incidence numeric
@attribute num_past_irregular_incidence numeric
@attribute num_lexic_words_incidence numeric
@attribute all_connectives_incidence numeric
@attribute causal_connectives_incidence numeric
@attribute logical_connectives_incidence numeric
@attribute adversative_connectives_incidence numeric
@attribute temporal_connectives_incidence numeric
@attribute conditional_connectives_incidence numeric
@attribute num_rare_nouns_incidence numeric
@attribute num_rare_adj_incidence numeric
@attribute num_rare_verbs_incidence numeric
@attribute num_rare_advb numeric
@attribute num_rare_advb_incidence numeric
@attribute num_rare_words_incidence numeric
@attribute num_dif_rare_words_incidence numeric
@attribute mean_rare_incidence numeric
@attribute mean_distinct_rare_incidence numeric
@attribute lexical_density numeric
@attribute noun_density numeric
@attribute verb_density numeric
@attribute adj_density numeric
@attribute adv_density numeric
@attribute negation_incidence numeric
@attribute simple_ttr numeric
@attribute nttr numeric
@attribute vttr numeric
@attribute adj_ttr numeric
@attribute adv_ttr numeric
@attribute content_ttr numeric
@attribute lemma_ttr numeric
@attribute lemma_nttr numeric
@attribute lemma_vttr numeric
@attribute lemma_adj_ttr numeric
@attribute lemma_adv_ttr numeric
@attribute lemma_content_ttr numeric
@attribute ratio_proper_nouns_per_nouns numeric
@attribute noun_overlap_adjacent numeric
@attribute noun_overlap_all numeric
@attribute argument_overlap_adjacent numeric
@attribute argument_overlap_all numeric
@attribute stem_overlap_adjacent numeric
@attribute stem_overlap_all numeric
@attribute content_overlap_adjacent_mean numeric
@attribute content_overlap_adjacent_std numeric
@attribute content_overlap_all_mean numeric
@attribute content_overlap_all_std numeric
@attribute level numeric

@data

10,18,5,2,348,389,15,153,14,70,40,5,32,16,54,37,15,19,24,21,63,11,26,12,6,3,2,2,5,1.416,1.008,178,4.6667,3.4778,822.5475,0.0575,3,6.9444,359.1954,155.1724,5.3333,77.1862,76.2579,11,6,0,18,5,40,0.7583,0.0782,0.7541,0.0806,0.7355,0.0721,1.8,19.3333,4.389,4.0893,1.8477,3.5,2.2778,4.988,6.0328,1.7333,7.4348,0.75,6.5556,6.6186,26.1438,26.6667,0.9798,10.2578,2.3745,2.2291,0.9017,4.3744,1.8637,51.7241,28.7356,0,0,68.9655,8.6207,5.7471,60.3448,5.7471,31.6092,74.7126,106.3218,155.1724,201.1494,17.2414,40.2299,43.1034,34.4828,439.6552,114.9425,31.6092,51.7241,14.3678,17.2414,0,54.5977,14.3678,45.977,0,0,114.9425,91.954,75.1259,76.6284,0.4397,0.2011,0.1552,0.0402,0.0431,14.3678,0.5115,0.7429,0.8333,1,0.6,0.7941,0.6236,0.7286,0.6481,1,0.6,0.7442,0.0789,0.125,0.1667,0.2941,0.2222,0.1176,0.1307,0.0143,0.0268,0.0141,0.0299,0
4,12,7,3,301,333,18,144,21,59,29,6,28,16,46,32,20,7,18,15,56,7,26,7,8,2,2,2,2,1.6739,1.2391,161,4.4167,2.7817,831.3525,0.0558,3.8333,7.6667,305.6478,152.8239,5.9167,88.3638,69.4278,6,3,0,19,4,32,0.8143,0.0526,0.7961,0.0684,0.8072,0.01,3,25.0833,4.2508,4.01,1.8638,4.6667,2.6667,5.04,6.62,2.1,7.75,0.3684,9.0833,6.4404,20.1389,25,1.5811,11.4489,2.3832,2.1507,0.9212,4.0714,2.1393,39.8671,13.289,0,0,59.8007,6.6445,6.6445,49.8339,6.6445,23.2558,86.3787,106.3123,152.8239,196.0133,26.5781,69.7674,59.8007,23.2558,478.4053,106.3123,19.9336,63.1229,13.289,9.9668,0,23.2558,19.9336,53.1561,0,0,96.3455,93.0233,66.9066,83.0565,0.4784,0.196,0.1528,0.0698,0.0598,6.6445,0.5349,0.7288,0.8913,0.8095,0.6111,0.7602,0.5615,0.678,0.6957,0.7619,0.5556,0.6728,0.1194,0.25,0.4118,0.4545,0.3636,0.2727,0.2879,0.0289,0.0249,0.025,0.0311,0
3,15,5,2,377,415,19,172,20,74,39,4,35,18,59,33,26,15,25,18,64,14,32,5,9,7,1,3,2,1.6281,1.1901,205,5.9333,2.886,895.1695,0.0495,3.9333,8.0667,320.9549,156.4987,6.2,99.621,67.8884,8,6,1,16,4,35,0.8015,0.0567,0.8001,0.051,0.8028,0.0064,5,25.1333,4.4562,4.2149,1.8886,4.2667,2.5333,5.0556,6.1594,1.9474,7.76,0.4545,9.0667,6.7426,22.6744,25.1799,0.8165,14.6782,2.5934,2.4493,1.0057,5.4707,2.2719,39.7878,7.9576,0,0,66.313,18.5676,2.6525,47.7454,7.9576,37.1353,84.8806,87.5332,156.4987,196.2865,23.8727,53.0504,50.3979,13.2626,456.2334,92.8382,21.2202,42.4403,10.6101,15.9151,2.6525,39.7878,10.6101,47.7454,2,5.305,103.4483,92.8382,60.1443,66.7902,0.4562,0.1963,0.1565,0.0531,0.0504,5.305,0.5438,0.7973,0.8644,0.85,0.6316,0.7858,0.6021,0.7568,0.7119,0.75,0.6316,0.7126,0.1084,0.25,0.1935,0.2857,0.2381,0.2143,0.1714,0.0279,0.0354,0.015,0.0259,0
6,14,3,6,245,281,17,120,7,45,22,1,22,18,51,30,25,2,21,17,50,15,24,5,6,0,0,4,2,1.058,0.942,142,4.3571,3.04,942.3933,0.0511,3.6429,4.9286,281.6327,208.1633,4.8571,88.9038,74.3778,5,7,0,9,1,22,0.8079,0.0578,0.7718,0.0704,0.799,0.025,2.3333,17.5,4.4571,4.2653,1.9102,3.5714,2.5714,4.6027,5.7455,2.0556,7.5405,0.4167,6.5714,6.8913,18.3333,21.5686,1.7951,4.9678,2.7351,2.5792,1.0767,1.8406,2.2958,57.1429,24.4898,0,0,85.7143,0,0,69.3878,16.3265,61.2245,97.9592,122.449,208.1633,183.6735,24.4898,28.5714,69.3878,20.4082,489.7959,89.7959,20.4082,36.7347,4.0816,28.5714,0,8.1633,4.0816,73.4694,1,4.0816,89.7959,89.7959,74.8298,88.0351,0.4898,0.1837,0.2082,0.0286,0.0694,8.1633,0.5796,0.7778,0.9608,0.7143,0.8235,0.8191,0.6122,0.7556,0.7843,0.7143,0.7647,0.7547,0.1176,0.25,0.1579,0.4615,0.2747,0.3077,0.1429,0.0285,0.0381,0.0147,0.0304,0
13,24,2,1,337,378,26,156,16,54,18,1,17,14,60,38,20,3,30,20,65,8,25,9,13,3,3,4,7,1.18,0.99,152,3.1667,3.6075,640.3329,0.0726,2.5,4.1667,296.7359,178.0415,4.5833,74.1895,82.1317,11,10,0,14,8,43,0.7796,0.0968,0.7323,0.0941,0.7464,0.0871,1.8462,14.0417,4.2246,4.1138,1.8398,2.7083,1.7083,3.7841,5.7895,1.3333,7.8462,0.75,4.875,6.1709,11.5385,17.7083,1.0263,6.5985,2.3549,2.2238,0.9765,2.1854,2.1335,71.2166,38.5757,0,0,89.0208,8.9021,8.9021,59.3472,11.8694,23.7389,74.184,112.7596,178.0415,160.2374,38.5757,47.4777,77.1513,26.7062,462.908,127.5964,32.6409,41.543,23.7389,29.6736,0,8.9021,2.9674,41.543,0,0,53.4125,50.4451,34.2389,52.5469,0.4629,0.1602,0.178,0.0475,0.0772,20.7715,0.451,0.5556,0.75,0.6875,0.4231,0.604,0.5905,0.5,0.6167,0.6875,0.4231,0.5568,0.194,0.4545,0.2941,0.4783,0.2609,0.3043,0.1812,0.0545,0.0815,0.0294,0.0516,0
14,30,2,2,345,421,11,62,47,176,64,55,18,40,10,28,33,75,12,9,9,24,26,15,20,3,5,2,1,1,1.2453,1.0755,178,2.9333,1.734,821.3305,0.0567,2.0667,3.5333,307.2464,179.7101,4.2667,70.5289,75.6317,1,9,0,16,0,26,0.6801,0.1429,0.6169,0.1281,0.6327,0.1104,2.1429,11.5,4.7907,4.6221,1.9913,2.5,2.5333,4.9091,6.5,1.6667,8.0263,0.3913,4.5667,7.5036,31.25,29.8507,1.1249,8.8006,2.9368,2.7549,1.1125,3.2628,2.3865,86.9565,40.5797,0,0,34.7826,2.8986,2.8986,26.087,8.6957,28.9855,81.1594,136.2319,179.7101,185.5072,31.8841,75.3623,69.5652,26.087,510.1449,75.3623,2.8986,46.3768,0,26.087,0,57.971,43.4783,52.1739,5.7971,159.4203,115.942,90.5797,86.5238,0.5101,0.1855,0.1797,0.0754,0.0696,14.4928,0.5159,0.7344,0.8548,0.6923,0.6667,0.737,0.6319,0.6875,0.5806,0.7692,0.625,0.6656,0.1467,0.125,0.0769,0.069,0.0805,0.069,0.0667,0.0093,0.0305,0.01,0.0318,1
11,23,3,3,208,250,1,42,25,108,38,26,12,23,9,22,25,48,13,5,2,14,14,2,12,3,0,0,7,7,1.2258,1.0645,129,1.3913,2.7535,786.9215,0.0466,1.8261,2.6957,298.0769,201.9231,3.7826,90.4974,77.0387,8,4,1,2,2,17,0.6324,0.1571,0.5975,0.1438,0.5789,0.0584,2.0909,9.0435,4.7286,4.6571,2.0096,2.087,1.8261,4.3846,6,1.2222,7.72,0.4,3.4783,7.275,24.0741,27.7108,1.0833,8.9125,2.7199,2.5591,1.1351,3.2285,2.302,110.5769,52.8846,0,0,62.5,33.6538,33.6538,24.0385,14.4231,43.2692,105.7692,120.1923,201.9231,182.6923,4.8077,67.3077,67.3077,9.6154,519.2308,81.7308,38.4615,9.6154,9.6154,19.2308,4.8077,57.6923,9.6154,57.6923,0,125,110.5769,115.7409,133.225,0.5192,0.1827,0.2019,0.0673,0.0673,0,0.6202,0.7368,0.8333,0.8571,0.7143,0.7854,0.6202,0.6842,0.6905,0.8571,0.7143,0.7365,0.0256,0.0833,0.0526,0.0909,0.0751,0.0909,0.0672,0.0085,0.0275,0.0102,0.0401,1
8,12,2,1,143,166,0,24,17,80,37,15,4,13,4,7,14,24,8,7,8,7,12,2,7,1,1,2,0,0,1.5778,1.3111,96,3.9167,2.8842,862.1344,0.044,2,3.75,314.6853,167.8322,4,80.7148,73.8458,2,5,0,5,2,14,0.6778,0.135,0.6844,0.1025,0.6983,0.0978,1.5,11.9167,4.7083,4.7083,2.014,2,1.9167,5.2439,6.625,1.4,7.5926,0.5,4.25,7.0784,18.75,20.3125,0.7071,7.0173,2.5897,2.5573,1.0241,2.1262,1.9387,83.9161,55.9441,0,0,55.9441,0,0,48.951,6.993,27.972,48.951,118.8811,167.8322,258.7413,0,83.9161,48.951,55.9441,559.4406,97.9021,13.986,34.965,13.986,34.965,0,48.951,13.986,27.972,13.986,104.8951,90.9091,131.1189,142.0455,0.5594,0.2587,0.1678,0.0839,0.049,6.993,0.6713,0.7027,0.9167,0.8333,1,0.8632,0.7133,0.6757,0.8333,0.75,1,0.8147,0,0.25,0.2,0.4545,0.2424,0.3636,0.2121,0.0358,0.056,0.0223,0.0407,1
12,42,1,1,356,447,1,68,46,188,67,46,21,42,13,30,30,88,22,8,3,27,26,9,16,1,9,0,3,2,1.2523,0.972,187,2.2857,2.8283,769.5502,0.0542,1.619,2.5476,300.5618,191.0112,3.4286,77.5239,86.1156,8,7,1,13,2,31,0.6777,0.1247,0.6332,0.0991,0.63,0.0585,3.5,8.4762,4.4121,4.3462,1.868,2.0952,2.1667,6.4615,6.381,1.75,7.9574,0.3333,3.1429,6.7727,24.4681,32.3077,1.7559,6.2383,2.6809,2.5626,1.0233,2.3862,2.5423,117.9775,33.7079,1,2.809,61.7978,8.427,5.618,22.4719,2.809,36.5169,84.2697,129.2135,191.0112,188.2022,2.809,73.0337,75.8427,8.427,528.0899,87.0787,22.4719,36.5169,5.618,19.6629,2.809,44.9438,25.2809,58.9888,0,129.2135,117.9775,68.7306,90.752,0.5281,0.1882,0.191,0.073,0.0758,25.2809,0.5253,0.6716,0.7353,0.7692,0.5556,0.6829,0.573,0.6269,0.5735,0.6923,0.5556,0.6121,0.0147,0.0667,0.0282,0.0976,0.0569,0.0732,0.036,0.0324,0.0736,0.0139,0.0436,1
