gainera	gai.ne.ra
jose	jo.se
egoera	e.go.e.ra
gutxi	gu.txi
hura	hu.ra
ekarri	e.ka.rri
duena	du.e.na
osoan	o.so.an
datozen	da.to.zen
atzera	a.tze.ra
#proiektu	proi.ek.tu
ezker	ez.ker
halako	ha.la.ko
gaitzetsi	gai.tze.tsi
gaztea	gaz.te.a
unibertsitate	u.ni.ber.tsi.ta.te
denboraldia	den.bo.ral.di.a
konpromisoa	kon.pro.mi.so.a
#saioak	sai.o.ak
jendea	jen.de.a
hilabeteetan	hi.la.be.te.e.tan
ondorioak	on.do.ri.o.ak
garrantzi	ga.rran.tzi
hilketa	hil.ke.ta
jasaten	ja.sa.ten
dezakeen	de.za.ke.en
senideak	se.ni.de.ak
gelditzen	gel.di.tzen
mugak	mu.gak
hogeita	ho.gei.ta
antolatzeko	an.to.la.tze.ko
oinarriak	oi.na.rri.ak
irudia	i.ru.di.a
gomez	go.mez
porrota	po.rro.ta
dutena	du.te.na
egoerari	e.go.e.ra.ri
nagusietako	na.gu.si.e.ta.ko
lotzen	lo.tzen
zelan	ze.lan
oinarritutako	oi.na.rri.tu.ta.ko
multzoko	mul.tzo.ko
aldatuko	al.da.tu.ko
batzarreko	ba.tza.rre.ko
#profesional	pro.fe.si.o.nal
zaintzen	zain.tzen
afrikako	a.fri.ka.ko
zeukan	zeu.kan
tolosako	to.lo.sa.ko
nafarroak	na.fa.rro.ak
les	les
gelan	ge.lan
sindikatuaren	sin.di.ka.tu.a.ren
bruselan	bru.se.lan
baztertzen	baz.ter.tzen
zatiko	za.ti.ko
tira	ti.ra
testuak	tes.tu.ak
kontsumitzaileen	kon.tsu.mi.tzai.le.en
inmigrazio	in.mi.gra.zi.o
gizakia	gi.za.ki.a
ezagutzeko	e.za.gu.tze.ko
mina	mi.na
kolpea	kol.pe.a
cesar	ce.sar
elkartasun	el.kar.ta.sun
zenaren	ze.na.ren
ikaragarria	i.ka.ra.ga.rri.a
direlaeta	di.re.la.e.ta
plazatik	pla.za.tik
omenezko	o.me.nez.ko
normalizazio	nor.ma.li.za.zi.o
mariano	ma.ri.a.no
lanbide	lan.bi.de
iriarte	i.ri.ar.te
adituak	a.di.tu.ak
pisua	pi.su.a
labriten	la.bri.ten
kroaziak	kro.a.zi.ak
gordina	gor.di.na
compostela	com.pos.te.la
garbitzeko	gar.bi.tze.ko
arazoen	a.ra.zo.en
torneo	tor.ne.o
ondoen	on.do.en
getxoko	ge.txo.ko
foro	fo.ro
ezagutarazteko	e.za.gu.ta.raz.te.ko
ziela	zi.e.la
sudupe	su.du.pe
idiakez	i.di.a.kez
gaitzespena	gai.tzes.pe.na
suspertzeko	sus.per.tze.ko
inola	i.no.la
galderei	gal.de.rei
finkoa	fin.ko.a
borondatez	bo.ron.da.tez
berrogeita	be.rro.gei.ta
basatia	ba.sa.ti.a
azkenekoz	az.ke.ne.koz
zaurituta	zau.ri.tu.ta
proiektuetan	proi.ek.tu.e.tan
postuari	pos.tu.a.ri
orkestrarekin	or.kes.tra.re.kin
zikina	zi.ki.na
#nagoreerrandonea	na.go.re.e.rran.do.ne.a
max	max
espetxeko	es.pe.txe.ko
brasil	bra.sil
bina	bi.na
zurriola	zu.rri.o.la
saporta	sa.por.ta
moldaketa	mol.da.ke.ta
luzatzea	lu.za.tze.a
lorenek	lo.re.nek
homosexualitatea	ho.mo.se.xu.a.li.ta.te.a
erdaraz	er.da.raz
auxkin	aux.kin
autonomikoak	au.to.no.mi.ko.ak
akusatua	a.ku.sa.tu.a
zigorrik	zi.go.rrik
urraka	u.rra.ka
urak	u.rak
tropak	tro.pak
supererraldoia	su.pe.re.rral.doi.a
lou	lou
lavinen	la.vi.nen
kolonbian	ko.lon.bi.an
inportantea	in.por.tan.te.a
hitzartuta	hi.tzar.tu.ta
hagako	ha.ga.ko
gosea	go.se.a
gorenera	go.re.ne.ra
finkatuko	fin.ka.tu.ko
bilatze	bi.la.tze
bategitearen	ba.te.gi.te.a.ren
astigarragako	as.ti.ga.rra.ga.ko
zientifikoa	zi.en.ti.fi.ko.a
urde	ur.de
uak	u.ak
opariak	o.pa.ri.ak
ontzien	on.tzi.en
kontzentrazioaren	kon.tzen.tra.zi.o.a.ren
juniorretan	ju.ni.o.rre.tan
jexux	je.xux
ibilbidearen	i.bil.bi.de.a.ren
gordobilek	gor.do.bi.lek
etsaia	e.tsai.a
desagertarazi	de.sa.ger.ta.ra.zi
brankan	bran.kan
bereziko	be.re.zi.ko
zailtasunik	zail.ta.su.nik
tarja	tar.ja
