abjura	ab.ju.ra
aborrecibles	a.bo.rre.ci.bles
aborreció	a.bo.rre.ció
abrazos	a.bra.zos
abriendo	a.brien.do
abstraído	abs.tra.í.do
absurda	ab.sur.da
absurdas	ab.sur.das
absurdo	ab.sur.do
!absurdos	ab.sur.dos
acabamos	a.ca.ba.mos
acabas	a.ca.bas
aceituna	a.cei.tu.na
aceleró	a.ce.le.ró
acerbas	a.cer.bas
acercan	a.cer.can
acercándose	a.cer.cán.do.se
aclarase	a.cla.ra.se
acomode	a.co.mo.de
aconsejaron	a.con.se.ja.ron
aconteciera	a.con.te.cie.ra
acordara	a.cor.da.ra
adelantaría	a.de.lan.ta.rí.a
adelfas	a.del.fas
adentros	a.den.tros
adivinarme	a.di.vi.nar.me
administrado	ad.mi.nis.tra.do
administraor	ad.mi.nis.tra.or
administrativo	ad.mi.nis.tra.ti.vo
admirador	ad.mi.ra.dor
admisible	ad.mi.si.ble
adornar	a.dor.nar
adoro	a.do.ro
advenedizo	ad.ve.ne.di.zo
advertido	ad.ver.ti.do
afeitado	a.fei.ta.do
afirmando	a.fir.man.do
africana	a.fri.ca.na
ágil	á.gil
agolpándose	a.gol.pán.do.se
agrado	a.gra.do
agreguen	a.gre.guen
ahogarte	a.ho.gar.te
ahorraréis	a.ho.rra.réis
alarcón	a.lar.cón
alardeaba	a.lar.de.a.ba
alardeó	a.lar.de.ó
#alecciones	a.lec.cio.nes
alejado	a.le.ja.do
algazara	al.ga.za.ra
algún	al.gún
alhajillas	al.ha.ji.llas
almorzaba	al.mor.za.ba
almorzando	al.mor.zan.do
alta	al.ta
alzarle	al.zar.le
amansada	a.man.sa.da
amargarnos	a.mar.gar.nos
aminoraron	a.mi.no.ra.ron
amortiguado	a.mor.ti.gua.do
ampares	am.pa.res
amplias	am.plias
añade	a.ña.de
anciano	an.cia.no
andar	an.dar
anhelos	an.he.los
anidado	a.ni.da.do
animación	a.ni.ma.ción
antagonismo	an.ta.go.nis.mo
antesala	an.te.sa.la
antojaban	an.to.ja.ban
apadrinarle	a.pa.dri.nar.le
apagó	a.pa.gó
aparece	a.pa.re.ce
apareciese	a.pa.re.cie.se
apearon	a.pe.a.ron
apetecible	a.pe.te.ci.ble
apreciaciones	a.pre.cia.cio.nes
apresuradamente	a.pre.su.ra.da.men.te
!aprovecha	a.pro.ve.cha
aproximadamente	a.pro.xi.ma.da.men.te
arabescos	a.ra.bes.cos
arañado	a.ra.ña.do
arboledas	ar.bo.le.das
ardieron	ar.die.ron
arenal	a.re.nal
armados	ar.ma.dos
arranques	a.rran.ques
!arrellanado	a.rre.lla.na.do
arrimaos	a.rri.ma.os
arrobos	a.rro.bos
!arrodillado	a.rro.di.lla.do
arrogancias	a.rro.gan.cias
arrostrando	a.rros.tran.do
arteras	ar.te.ras
artísticas	ar.tís.ti.cas
asa	a.sa
ascetismo	as.ce.tis.mo
asignaturas	a.sig.na.tu.ras
asombro	a.som.bro
asonadas	a.so.na.das
aspira	as.pi.ra
aspiración	as.pi.ra.ción
asquerosa	as.que.ro.sa
!astillados	as.ti.lla.dos
atajadas	a.ta.ja.das
ataque	a.ta.que
atiende	a.tien.de
atraerle	a.tra.er.le
atrás	a.trás
atrasados	a.tra.sa.dos
atrasás	a.tra.sás
atravesando	a.tra.ve.san.do
atreve	a.tre.ve
atrevería	a.tre.ve.rí.a
atrevidamente	a.tre.vi.da.men.te
atrevió	a.tre.vió
atrio	a.trio
auténtica	au.tén.ti.ca
autorización	au.to.ri.za.ción
!avasallan	a.va.sa.llan
azuladas	a.zu.la.das
azulados	a.zu.la.dos
bacante	ba.can.te
balconaje	bal.co.na.je
balduque	bal.du.que
banastas	ba.nas.tas
banderitas	ban.de.ri.tas
barracas	ba.rra.cas
barranco	ba.rran.co
bastase	bas.ta.se
bastoneo	bas.to.ne.o
bata	ba.ta
!batallando	ba.ta.llan.do
be	be
beneficios	be.ne.fi.cios
bledo	ble.do
bofetada	bo.fe.ta.da
!bollos	bo.llos
borde	bor.de
borlas	bor.las
!botella	bo.te.lla
!brillaba	bri.lla.ba
brindaba	brin.da.ba
británicamente	bri.tá.ni.ca.men.te
brotadas	bro.ta.das
brotó	bro.tó
búcaros	bú.ca.ros
buenas	bue.nas
!bullicio	bu.lli.cio
burda	bur.da
burlador	bur.la.dor
buscan	bus.can
buscándola	bus.cán.do.la
buscona	bus.co.na
!busdonguillo	bus.don.gui.llo
cabayero	ca.ba.ye.ro
cabecera	ca.be.ce.ra
cada	ca.da
!callejear	ca.lle.je.ar
calzarle	cal.zar.le
camelias	ca.me.lias
caminante	ca.mi.nan.te
caminata	ca.mi.na.ta
campanas	cam.pa.nas
campeaba	cam.pe.a.ba
cap	cap
cápsulas	cáp.su.las
!capullos	ca.pu.llos
carabineros	ca.ra.bi.ne.ros
carácter	ca.rác.ter
caracteres	ca.rac.te.res
carcelero	car.ce.le.ro
careta	ca.re.ta
carretas	ca.rre.tas
carretones	ca.rre.to.nes
cartero	car.te.ro
casaran	ca.sa.ran
cascote	cas.co.te
!casilleros	ca.si.lle.ros
causase	cau.sa.se
cautividad	cau.ti.vi.dad
cedió	ce.dió
!centellean	cen.te.lle.an
céntrica	cén.tri.ca
ceñuda	ce.ñu.da
cercanos	cer.ca.nos
cerraba	ce.rra.ba
cesante	ce.san.te
!chancillerías	chan.ci.lle.rí.as
!chaquetilla	cha.que.ti.lla
chaquetón	cha.que.tón
charlaba	char.la.ba
chorizo	cho.ri.zo
chubasco	chu.bas.co
chupa	chu.pa
chupadas	chu.pa.das
cimbrear	cim.bre.ar
cinturón	cin.tu.rón
circular	cir.cu.lar
!circunstancias	cir.cuns.tan.cias
claro	cla.ro
clavando	cla.van.do
cleopatra	cle.o.pa.tra
cloe	clo.e
cobejera	co.be.je.ra
cobrase	co.bra.se
cobre	co.bre
cocinero	co.ci.ne.ro
cogote	co.go.te
coja	co.ja
combate	com.ba.te
combates	com.ba.tes
combinaciones	com.bi.na.cio.nes
comedias	co.me.dias
compañero	com.pa.ñe.ro
compañía	com.pa.ñí.a
comparaciones	com.pa.ra.cio.nes
comparado	com.pa.ra.do
compense	com.pen.se
complacerte	com.pla.cer.te
complicación	com.pli.ca.ción
compradores	com.pra.do.res
comprender	com.pren.der
compuesta	com.pues.ta
concavidades	con.ca.vi.da.des
conceda	con.ce.da
concretarnos	con.cre.tar.nos
confesaba	con.fe.sa.ba
confidente	con.fi.den.te
#conmigoañadió	con.mi.go.a.ña.dió
conocerla	co.no.cer.la
conozco	co.noz.co
consejos	con.se.jos
conserva	con.ser.va
consideraban	con.si.de.ra.ban
considerar	con.si.de.rar
consistía	con.sis.tí.a
consolaba	con.so.la.ba
!constituyen	cons.ti.tu.yen
consumación	con.su.ma.ción
consumía	con.su.mí.a
contemplaron	con.tem.pla.ron
contenerme	con.te.ner.me
contentos	con.ten.tos
contestara	con.tes.ta.ra
contraída	con.tra.í.da
contrariar	con.tra.riar
#contribuido	con.tri.bui.do
convaleciente	con.va.le.cien.te
convecinos	con.ve.ci.nos
copita	co.pi.ta
coquetones	co.que.to.nes
cordiales	cor.dia.les
correspondiese	co.rres.pon.die.se
corrida	co.rri.da
corromperse	co.rrom.per.se
cortando	cor.tan.do
cortase	cor.ta.se
cortezas	cor.te.zas
cortina	cor.ti.na
cosas	co.sas
costaba	cos.ta.ba
costao	cos.ta.o
crece	cre.ce
crista	cris.ta
cristeta	cris.te.ta
crónicas	cró.ni.cas
cuadras	cua.dras
cuarta	cuar.ta
cuarterones	cuar.te.ro.nes
cubrir	cu.brir
cuentas	cuen.tas
cuidadosamente	cui.da.do.sa.men.te
cuidarle	cui.dar.le
culpables	cul.pa.bles
cuyos	cu.yos
danzantes	dan.zan.tes
debidos	de.bi.dos
decirle	de.cir.le
decretan	de.cre.tan
defensor	de.fen.sor
dejan	de.jan
delataba	de.la.ta.ba
delirios	de.li.rios
depende	de.pen.de
!derecho	de.re.cho
derivados	de.ri.va.dos
!derrochara	de.rro.cha.ra
desagraviar	de.sa.gra.viar
desamor	de.sa.mor
desatender	de.sa.ten.der
desconcertadas	des.con.cer.ta.das
descritos	des.cri.tos
descubría	des.cu.brí.a
descubriese	des.cu.brie.se
!desdichado	des.di.cha.do
deseamos	de.se.a.mos
desempeñaba	de.sem.pe.ña.ba
desenfadada	de.sen.fa.da.da
desenvoltura	de.sen.vol.tu.ra
desesperadamente	de.ses.pe.ra.da.men.te
desfigurado	des.fi.gu.ra.do
desfilar	des.fi.lar
desgracia	des.gra.cia
desgraciado	des.gra.cia.do
!deshechas	des.he.chas
deshonestas	des.ho.nes.tas
!deshonrarlas	des.hon.rar.las
desolación	de.so.la.ción
despedirle	des.pe.dir.le
desperezándose	des.pe.re.zán.do.se
desposeído	des.po.se.í.do
desprecia	des.pre.cia
despreciaste	des.pre.cias.te
desprenderse	des.pren.der.se
despuntar	des.pun.tar
destapó	des.ta.pó
destinas	des.ti.nas
desván	des.ván
!detalle	de.ta.lle
detenía	de.te.ní.a
determinada	de.ter.mi.na.da
detuvieran	de.tu.vie.ran
detuviese	de.tu.vie.se
detúvose	de.tú.vo.se
dibujada	di.bu.ja.da
diego	die.go
dieron	die.ron
dígala	dí.ga.la
dignase	dig.na.se
diligencias	di.li.gen.cias
disecado	di.se.ca.do
disfrutar	dis.fru.tar
disgustaba	dis.gus.ta.ba
disgustazo	dis.gus.ta.zo
disimular	di.si.mu.lar
disparó	dis.pa.ró
#distancias	dis.tan.cias
distintas	dis.tin.tas
distraerte	dis.tra.er.te
diversas	di.ver.sas
divertirle	di.ver.tir.le
divertirse	di.ver.tir.se
divisaban	di.vi.sa.ban
domador	do.ma.dor
domingo	do.min.go
dramas	dra.mas
dúo	dú.o
duritos	du.ri.tos
!echa	e.cha
!echan	e.chan
edificar	e.di.fi.car
educado	e.du.ca.do
educados	e.du.ca.dos
elegantísimas	e.le.gan.tí.si.mas
elogiar	e.lo.giar
emanaciones	e.ma.na.cio.nes
embotar	em.bo.tar
embustera	em.bus.te.ra
emprende	em.pren.de
empujó	em.pu.jó
encaminó	en.ca.mi.nó
encanto	en.can.to
encarecimiento	en.ca.re.ci.mien.to
encargan	en.car.gan
encariñando	en.ca.ri.ñan.do
encogido	en.co.gi.do
enemistada	e.ne.mis.ta.da
enérgica	e.nér.gi.ca
engalanarse	en.ga.la.nar.se
enhorabuena	en.ho.ra.bue.na
#ennegrecida	en.ne.gre.ci.da
ensalzado	en.sal.za.do
entendiendo	en.ten.dien.do
entonados	en.to.na.dos
entorpecido	en.tor.pe.ci.do
entregaban	en.tre.ga.ban
enviándose	en.vián.do.se
#enviar	en.viar
envidioso	en.vi.dio.so
enviudó	en.viu.dó
erudito	e.ru.di.to
escapada	es.ca.pa.da
escarnecerle	es.car.ne.cer.le
escasez	es.ca.sez
escatima	es.ca.ti.ma
escatimarla	es.ca.ti.mar.la
escogido	es.co.gi.do
escondió	es.con.dió
escondrijos	es.con.dri.jos
escribirle	es.cri.bir.le
escrúpulos	es.crú.pu.los
escudo	es.cu.do
escudriñaron	es.cu.dri.ña.ron
esculpida	es.cul.pi.da
