    Adição ,    Alternativa ,    Conformidade ,    Comparação,    Concessão,    Conclusão / síntese / resumo,    Condição,    Confirmação,    Consequência ,    Designação ,    Dúvida ,    Explicitação / particularização ,    Finalidade / intencionalidade ,    Inclusão / exclusão ,    Intensidade / quantidade ,    Negação,    Ordem ,    Opinião,    Oposição / contraste ,    Proporção / proporcionalidade ,    Reafirmação / confirmação / resumo,    Realce,    Reformulação ,    Sequência,    Sequência temporal ,    Sequência espacial,    Tempo 
 e, ou,consoante,como,embora,pois,se, com efeito,pelo que,eis,talvez,quer isto dizer,com o fim de, também,muito, não,ultimamente,na minha opinião,mas,ao passo que,ou seja,cá,quer dizer,começando,depois,à esquerda,quando
 nem, ora … ora, conforme, também, mesmo que, portanto, caso, efetivamente, de modo que, vede, possivelmente, isto (não) significa que, com intuito, até, pouco, nunca, primeiramente, a meu ver, porém, à medida que, ou melhor, lá, mais corretamente, primeiramente, então, à direita, enquanto
 pois, quer … quer, segundo, conforme, se bem que, por conseguinte, a menos que, na verdade, de forma que, aqui está, provavelmente, por outras palavras, para (que), mesmo, bastante, tampouco, antes, em meu entender, todavia, à proporção que, por outras palavras, só, mais precisamente, para começar, após, à frente, até que
 além disso, ou … ou, como, tanto … quanto, apesar de, assim, salvo que, de facto, daí que,, é possível que, isto é, a fim de, inclusive, mais, jamais, depois, parece-me que, contudo, quanto mais, com efeito, é que, ou melhor, em primeiro lugar, de seguida, atrás, antes que
 e ainda, em alternativa., de acordo com., tal como, ainda assim, logo, exceto se, factualmente, de maneira que,, é provável que, por exemplo, com o objetivo de, só, menos, nada,, estou em crer que, no entanto, tanto mais, efetivamente, ainda, dito de outro modo, num primeiro momento, dias mais tarde, sobre, logo que
 não só … mas também,    Certeza / afirmação – certamente,, assim como, ainda que, enfim, a não ser que, verdade, de sorte que,, por ventura, ou seja, de forma a, salvo, tão, ninguém,,, contrariamente, enquanto, na verdade, mas, numa palavra, antes de, meses depois, sob, assim que
 como ainda, é evidente que,, bem como, por mais que, concluindo, desde que, verdadeiramente, tanto/tal/tão/tamanho … que,, acaso, é o caso de, com o fim / com o objetivo de / com o propósito de / com intuito de / com a intenção de, menos, tanto, de modo algum,,, em vez de,, de fato,, noutros termos, em segundo lugar, anos após, de um lado, depois que
 bem como … assim como, com certeza,, pela mesma razão, mesmo assim, conclusivamente, contanto que, óbvio, por tudo isso,,, nomeadamente, com o fito de, apenas, quase, de jeito nenhum,,, ao invés de,, de tato,, por outras palavras, em seguida, agora já, de outro lado, sempre que
 por um lado … por outro lado, decerto,, de forma idêntica, de qualquer forma, em conclusão, só se, obviamente, consequentemente,,, em particular,, senão, demais, em hipótese alguma,,, pelo contrário,, em suma,,, logo após, antes, em cima, desde que
 depois, naturalmente,, de forma similar, posto que, em síntese,,, por conseguinte,,, a saber,, exclusive,,,,, por oposição,, em resumo,,, depois de, até que, no meio, desde quando
 logo após, que,,, malgrado, consequentemente,,, como consequência,,, entre outros,, fora,,,,, oposto,, resumidamente,,, por último,, em baixo, todas as vezes
 finalmente, sem dúvida,,, não obstante, em consequência,,,,,, especificamente,, tirante,,,,, opostamente,,,,, concluindo,, naquele sítio, senão quando
 em primeiro lugar, sem dúvida que,,, inobstante, por outras palavras,,,,,,,, sequer,,,,, entretanto,,,,, para terminar,,, ao tempo que
 em segundo lugar, de certo,,, em que pese, ou seja,,,,,,,,,,,,, doutro modo,,,,, em conclusão,,, mal
 do mesmo modo, é óbvio que,,,, em resumo,,,,,,,,,,,,, ao contrário,,,,, em síntese,,,
 igualmente, evidentemente,,,, ou melhor,,,,,,,,,,,,, não obstante,,,,, finalizando,,,
 de igual modo, obviamente,,,, pois,,,,,,,,,,,,, por outro lado,,,,,,,,
 da mesma maneira, verdadeiramente,,,, por isso,,,,,,,,,,,,,,,,,,,,,
 de igual maneira, de verdade,,,, deste modo,,,,,,,,,,,,,,,,,,,,,
 de novo, verdadeiro,,,, em suma,,,,,,,,,,,,,,,,,,,,,
 novamente, realmente,,,, sintetizando,,,,,,,,,,,,,,,,,,,,,
 também, exato,,,, finalizando,,,,,,,,,,,,,,,,,,,,,
 primeiramente, exatamente,,,,,,,,,,,,,,,,,,,,,,,,,
 da mesma forma, com exatidão,,,,,,,,,,,,,,,,,,,,,,,,,
 de igual forma,,,,,,,,,,,,,,,,,,,,,,,,,,
 ultimamente,,,,,,,,,,,,,,,,,,,,,,,,,,
 opostamente,,,,,,,,,,,,,,,,,,,,,,,,,,
 de modo oposto,,,,,,,,,,,,,,,,,,,,,,,,,,
 de maneira oposta,,,,,,,,,,,,,,,,,,,,,,,,,,
 por último,,,,,,,,,,,,,,,,,,,,,,,,,,
