Inpresorak	Inpre.so.rak

matxurak	ma.txu.rak

aurreikusten	au.rrei.kus.ten

Gaur	Gaur

egungo	e.gun.go

inpresorek	in.pre.so.rek

horixe	ho.ri.xe

egiten	e.gi.ten

dute	du.te

testu	tes.tu

eta	e.ta

irudiak	i.ru.di.ak

inprimitu	in.pri.mi.tu

Txuri	Txu.ri

beltzean	bel.tze.an

koloretan	ko.lo.re.tan

testuak	tes.tu.ak

irudiak	i.ru.di.ak

Eta	Eta

tinta	tin.ta

edo	e.do

papera	pa.pe.ra

amaitzen	a.mai.tzen

zaienean	zai.e.ne.an

abisua	a.bi.su.a

ematen	e.ma.ten

dute	du.te

inpresoraren	in.pre.so.ra.ren

pantailatxoan	pan.tai.la.txo.an

zein	zein

ordenagailuan	or.de.na.gai.lu.an

Aurrerantzean	Au.rre.ran.tze.an

inpresorek	in.pre.so.rek

berek	be.rek

matxurak	ma.txu.rak

noiz	noiz

izango	i.zan.go

dituzten	di.tuz.ten

ere	e.re

ohartaraziko	o.har.ta.ra.zi.ko

omen	o.men

digute	di.gu.te

Hori	Ho.ri

dio	di.o

behintzat	be.hin.tzat

Xerox	Xe.rox

etxeak	e.txe.ak

Bestetik	Bes.te.tik

orain	o.rain

arte	ar.te

autodiagnosia	au.to.di.ag.no.si.a

egiten	e.gi.ten

duten	du.ten

hainbat	hain.bat

makinak	ma.ki.nak

badabiltzan	ba.da.bil.tzan

edo	e.do

ez	ez

dabiltzan	da.bil.tzan

akatsen	a.ka.tsen

bat	bat

duten	du.ten

edo	e.do

akatsa	a.ka.tsa

konpondu	kon.pon.du

duten	du.ten

eta	e.ta

horrelakoak	ho.rre.la.ko.ak

aztertzen	az.ter.tzen

dituzte	di.tuz.te

Hau	Hau

da	da

bai	bai

edo	e.do

ez	ez

moduko	mo.du.ko

seinaleak	sei.na.le.ak

aztertzen	az.ter.tzen

dituzte	di.tuz.te

Inpresora	Inpre.so.ra

berriak	be.rri.ak

ikertzen	i.ker.tzen

Baina	Bai.na

piezek	pi.e.zek

unean	u.ne.an

unean	u.ne.an

duten	du.ten

egoera	e.go.e.ra

berri	be.rri

berriak	be.rri.ak

zirenekoarekin	zi.re.ne.ko.a.re.kin

konparatuta	kon.pa.ra.tu.ta

piezen	pi.e.zen

zahartze	za.har.tze

maila	mai.la

jakiteko	ja.ki.te.ko

modua	mo.du.a

legoke	le.go.ke

eta	e.ta

beraz	be.raz

baita	bai.ta

matxura	ma.txu.ra

noiz	noiz

dagoen	da.go.en

gertatzeko	ger.ta.tze.ko

zorian	zo.ri.an

ere	e.re

Nola	No.la

lortu	lor.tu

hori	ho.ri

Makinak	Ma.ki.nak

berak	be.rak

bere	be.re

piezen	pi.e.zen

bibrazioa	bi.bra.zi.o.a

zarata	za.ra.ta

eta	e.ta

pisua	pi.su.a

etengabe	e.ten.ga.be

neurtu	neur.tu

eta	e.ta

berritan	be.rri.tan

zituen	zi.tu.en

neurriekin	neu.rri.e.kin

konparatuko	kon.pa.ra.tu.ko

ditu	di.tu

baita	bai.ta

matxuratzear	ma.txu.ra.tze.ar

daudenean	dau.de.ne.an

izaten	i.za.ten

dituzten	di.tuz.ten

bibrazio	bi.bra.zi.o

zarata	za.ra.ta

eta	e.ta

pisuarekin	pi.su.a.re.kin

ere	e.re

Horrela	Ho.rre.la

hasierako	ha.si.e.ra.ko

eta	e.ta

bukaerako	bu.ka.e.ra.ko

datuak	da.tu.ak

unean	u.ne.an

unekoekin	u.ne.ko.e.kin

konparatuta	kon.pa.ra.tu.ta

piezak	pi.e.zak

zein	zein

egoeratan	e.go.e.ra.tan

dauden	dau.den

jakingo	ja.kin.go

du	du

makinak	ma.ki.nak

Antzeko	Antze.ko

zerbait	zer.bait

egiten	e.gi.ten

da	da

lehendik	le.hen.dik

ere	e.re

bestelako	bes.te.la.ko

makina	ma.ki.na

handiagoetan	han.di.a.go.e.tan

baina	bai.na

pixkanaka	pix.ka.na.ka

gero	ge.ro

eta	e.ta

makina	ma.ki.na

txikiagoei	txi.ki.a.go.ei

jartzen	jar.tzen

dizkiete	diz.ki.e.te

horrelako	ho.rre.la.ko

sistemak	sis.te.mak

Eta	Eta

inpresorak	in.pre.so.rak

berak	be.rak

bakarrik	ba.ka.rrik

deituko	dei.tu.ko

balu	ba.lu

teknikarien	tek.ni.ka.ri.en

zentralera	zen.tra.le.ra

matxura	ma.txu.ra

gertatu	ger.ta.tu

aurretik	au.rre.tik

agertuko	a.ger.tu.ko

lirateke	li.ra.te.ke

konponketa	kon.pon.ke.ta

egitera	e.gi.te.ra

